sourceTypeID,regClassID,beginModelYearID,endModelYearID,rollingTermA,rotatingTermB,dragTermC,sourceMass,fixedMassFactor
43,42,1960,2009,0.746718,0.0,0.00217584,7.78184,2.05979
43,42,2014,2020,0.709382,0.0,0.00217584,7.78184,5.0
43,42,2021,2023,0.637734,0.0,0.00217584,7.78184,5.0
43,42,2024,2026,0.603684,0.0,0.00217584,7.78184,5.0
43,42,2027,2060,0.569634,0.0,0.00217584,7.78184,5.0
43,46,1960,2009,0.746718,0.0,0.00217584,11.3666,17.1
43,46,2014,2020,0.709382,0.0,0.00217584,11.3666,7.0
43,46,2021,2023,0.637734,0.0,0.00217584,11.3666,7.0
43,46,2024,2026,0.603684,0.0,0.00217584,11.3666,7.0
43,46,2027,2060,0.569634,0.0,0.00217584,11.3666,7.0
43,47,1960,2009,0.746718,0.0,0.00217584,15.6028,17.1
43,47,2014,2020,0.709382,0.0,0.00217584,15.6028,10.0
43,47,2021,2023,0.637734,0.0,0.00217584,15.6028,10.0
43,47,2024,2026,0.603684,0.0,0.00217584,15.6028,10.0
43,47,2027,2060,0.569634,0.0,0.00217584,15.6028,10.0
51,41,1960,2009,1.58346,0.0,0.00357228,3.57431,2.05979
51,41,2014,2060,1.50429,0.0,0.00357228,3.57431,5.0
51,42,1960,2009,1.58346,0.0,0.00357228,5.76818,2.05979
51,42,2014,2020,1.50429,0.0,0.00357228,5.76818,5.0
51,42,2021,2023,1.50429,0.0,0.00357228,5.76818,5.0
51,42,2024,2026,1.50429,0.0,0.00357228,5.76818,5.0
51,42,2027,2060,1.32227,0.0,0.00357228,5.76818,5.0
51,46,1960,2009,1.58346,0.0,0.00357228,13.8001,17.1
51,46,2014,2020,1.50429,0.0,0.00357228,13.8001,7.0
51,46,2021,2023,1.50429,0.0,0.00357228,13.8001,7.0
51,46,2024,2026,1.50429,0.0,0.00357228,13.8001,7.0
51,46,2027,2060,1.32227,0.0,0.00357228,13.8001,7.0
51,47,1960,2009,1.58346,0.0,0.00357228,20.7044,17.1
51,47,2014,2020,1.50429,0.0,0.00357228,20.7044,10.0
51,47,2021,2023,1.50429,0.0,0.00357228,20.7044,10.0
51,47,2024,2026,1.50429,0.0,0.00357228,20.7044,10.0
51,47,2027,2060,1.32227,0.0,0.00357228,20.7044,10.0
52,41,1960,2009,0.627922,0.0,0.00160302,3.57431,2.05979
52,41,2014,2060,0.596526,0.0,0.00160302,3.57431,5.0
52,42,1960,2009,0.627922,0.0,0.00160302,5.76818,2.05979
52,42,2014,2020,0.596526,0.0,0.00160302,5.76818,5.0
52,42,2021,2023,0.558348,0.0,0.00160302,5.76619,5.0
52,42,2024,2026,0.558348,0.0,0.00160302,5.76344,5.0
52,42,2027,2060,0.53568,0.0,0.00160302,5.76069,5.0
52,46,1960,2009,0.627922,0.0,0.00160302,13.8001,17.1
52,46,2014,2020,0.596526,0.0,0.00160302,13.8001,7.0
52,46,2021,2023,0.558348,0.0,0.00160302,13.7981,7.0
52,46,2024,2026,0.558348,0.0,0.00160302,13.7953,7.0
52,46,2027,2060,0.53568,0.0,0.00160302,13.7926,7.0
52,47,1960,2009,0.627922,0.0,0.00160302,25.0484,17.1
52,47,2014,2020,0.596526,0.0,0.00160302,25.0484,10.0
52,47,2021,2023,0.558348,0.0,0.00160302,25.0464,10.0
52,47,2024,2026,0.558348,0.0,0.00160302,25.0437,10.0
52,47,2027,2060,0.53568,0.0,0.00160302,25.0409,10.0
53,41,1960,2009,0.557262,0.0,0.00147383,3.57431,2.05979
53,41,2014,2060,0.529399,0.0,0.00147383,3.57431,5.0
53,42,1960,2009,0.557262,0.0,0.00147383,5.76818,2.05979
53,42,2014,2020,0.529399,0.0,0.00147383,5.76818,5.0
53,42,2021,2023,0.484929,0.0,0.00147383,5.76461,5.0
53,42,2024,2026,0.458989,0.0,0.00147383,5.75747,5.0
53,42,2027,2060,0.458989,0.0,0.00147383,5.75033,5.0
53,46,1960,2009,0.557262,0.0,0.00147383,13.8001,17.1
53,46,2014,2020,0.529399,0.0,0.00147383,13.8001,7.0
53,46,2021,2023,0.484929,0.0,0.00147383,13.7965,7.0
53,46,2024,2026,0.458989,0.0,0.00147383,13.7894,7.0
53,46,2027,2060,0.458989,0.0,0.00147383,13.7822,7.0
53,47,1960,2009,0.557262,0.0,0.00147383,25.0484,17.1
53,47,2014,2020,0.529399,0.0,0.00147383,25.0484,10.0
53,47,2021,2023,0.484929,0.0,0.00147383,25.0449,10.0
53,47,2024,2026,0.458989,0.0,0.00147383,25.0377,10.0
53,47,2027,2060,0.458989,0.0,0.00147383,25.0306,10.0
54,41,1960,2009,0.68987,0.0,0.00210545,3.57431,2.05979
54,41,2014,2060,0.655376,0.0,0.00210545,3.57431,5.0
54,42,1960,2009,0.68987,0.0,0.00210545,5.76818,2.05979
54,42,2014,2020,0.655376,0.0,0.00210545,5.76818,5.0
54,42,2021,2023,0.519058,0.0,0.00210545,5.76818,5.0
54,42,2024,2026,0.519058,0.0,0.00210545,5.76818,5.0
54,42,2027,2060,0.493498,0.0,0.00210545,5.76818,5.0
54,46,1960,2009,0.68987,0.0,0.00210545,13.8001,17.1
54,46,2014,2020,0.655376,0.0,0.00210545,13.8001,7.0
54,46,2021,2023,0.519058,0.0,0.00210545,13.8001,7.0
54,46,2024,2026,0.519058,0.0,0.00210545,13.8001,7.0
54,46,2027,2060,0.493498,0.0,0.00210545,13.8001,7.0
54,47,1960,2009,0.68987,0.0,0.00210545,25.0484,17.1
54,47,2014,2020,0.655376,0.0,0.00210545,25.0484,10.0
54,47,2021,2023,0.519058,0.0,0.00210545,25.0484,10.0
54,47,2024,2026,0.519058,0.0,0.00210545,25.0484,10.0
54,47,2027,2060,0.493498,0.0,0.00210545,25.0484,10.0
61,46,1960,2007,1.64062,0.0,0.00407724,14.0122,17.1
61,46,2008,2009,1.64062,0.0,0.00407724,14.0122,17.1
61,46,2014,2017,1.509,0.0,0.00374476,13.8666,7.0
61,46,2018,2020,1.509,0.0,0.00374476,13.8666,7.0
61,46,2021,2023,1.407,0.0,0.00359446,13.8666,7.0
61,46,2024,2026,1.379,0.0,0.00352074,13.8666,7.0
61,46,2027,2060,1.353,0.0,0.00346672,13.8666,7.0
61,47,1960,2007,1.64062,0.0,0.00407724,24.8298,17.1
61,47,2008,2009,1.64062,0.0,0.00407724,24.8298,17.1
61,47,2014,2017,1.509,0.0,0.00374476,24.6842,10.0
61,47,2018,2020,1.509,0.0,0.00374476,24.6842,10.0
61,47,2021,2023,1.407,0.0,0.00359446,24.6842,10.0
61,47,2024,2026,1.379,0.0,0.00352074,24.6842,10.0
61,47,2027,2060,1.353,0.0,0.00346672,24.6842,10.0
62,46,1960,2007,1.73882,0.0,0.00434686,14.0122,17.1
62,46,2008,2009,1.73882,0.0,0.00427845,14.0122,17.1
62,46,2014,2017,1.576,0.0,0.00380477,13.8308,7.0
62,46,2018,2020,1.576,0.0,0.00380477,13.8308,7.0
62,46,2021,2023,1.502,0.0,0.00368528,13.8308,7.0
62,46,2024,2026,1.466,0.0,0.0035979,13.8308,7.0
62,46,2027,2060,1.44,0.0,0.00346614,13.8308,7.0
62,47,1960,2007,1.73882,0.0,0.00434686,24.8298,17.1
62,47,2008,2009,1.73882,0.0,0.00427845,24.8298,17.1
62,47,2014,2017,1.576,0.0,0.00380477,24.6484,10.0
62,47,2018,2020,1.576,0.0,0.00380477,24.6484,10.0
62,47,2021,2023,1.502,0.0,0.00368528,24.6484,10.0
62,47,2024,2026,1.466,0.0,0.0035979,24.6484,10.0
62,47,2027,2060,1.44,0.0,0.00346614,24.6484,10.0
31,41,2010,2060,0.22112,0.00283757,0.000698282,3.40194,5.0
32,41,2010,2060,0.235008,0.00303859,0.000747753,3.40194,5.0
41,41,2010,2013,1.29515,0.0,0.00371491,5.68398,5.0
41,42,2010,2013,1.29515,0.0,0.00371491,7.78184,5.0
41,46,2010,2013,1.29515,0.0,0.00371491,11.3666,7.0
41,47,2010,2013,1.29515,0.0,0.00371491,15.6028,10.0
42,42,2010,2013,1.0944,0.0,0.00358702,7.78184,5.0
42,46,2010,2013,1.0944,0.0,0.00358702,11.3666,7.0
42,47,2010,2013,1.0944,0.0,0.00358702,15.6028,10.0
42,48,2010,2013,1.0944,0.0,0.00358702,15.6028,10.0
43,41,2010,2013,0.746718,0.0,0.00217584,5.68398,5.0
43,42,2010,2013,0.746718,0.0,0.00217584,7.78184,5.0
43,46,2010,2013,0.746718,0.0,0.00217584,11.3666,7.0
43,47,2010,2013,0.746718,0.0,0.00217584,15.6028,10.0
51,41,2010,2013,1.58346,0.0,0.00357228,3.57431,5.0
51,42,2010,2013,1.58346,0.0,0.00357228,5.76818,5.0
51,46,2010,2013,1.58346,0.0,0.00357228,13.8001,7.0
51,47,2010,2013,1.58346,0.0,0.00357228,20.7044,10.0
52,41,2010,2013,0.627922,0.0,0.00160302,3.57431,5.0
52,42,2010,2013,0.627922,0.0,0.00160302,5.76818,5.0
52,46,2010,2013,0.627922,0.0,0.00160302,13.8001,7.0
52,47,2010,2013,0.627922,0.0,0.00160302,25.0484,10.0
53,41,2010,2013,0.557262,0.0,0.00147383,3.57431,5.0
53,42,2010,2013,0.557262,0.0,0.00147383,5.76818,5.0
53,46,2010,2013,0.557262,0.0,0.00147383,13.8001,7.0
53,47,2010,2013,0.557262,0.0,0.00147383,25.0484,10.0
54,41,2010,2013,0.68987,0.0,0.00210545,3.57431,5.0
54,42,2010,2013,0.68987,0.0,0.00210545,5.76818,5.0
54,46,2010,2013,0.68987,0.0,0.00210545,13.8001,7.0
54,47,2010,2013,0.68987,0.0,0.00210545,25.0484,10.0
61,46,2010,2013,1.64062,0.0,0.00407724,14.0122,7.0
61,47,2010,2013,1.64062,0.0,0.00407724,24.8298,10.0
62,46,2010,2013,1.73882,0.0,0.00427845,14.0122,7.0
62,47,2010,2013,1.73882,0.0,0.00427845,24.8298,10.0
61,49,1960,2007,1.64062,0.0,0.00407724,24.8298,17.1
61,49,2008,2009,1.64062,0.0,0.00407724,24.8298,17.1
61,49,2010,2013,1.64062,0.0,0.00407724,24.8298,17.1
61,49,2014,2017,1.509,0.0,0.00374476,24.6842,17.1
61,49,2018,2020,1.509,0.0,0.00374476,24.6842,17.1
61,49,2021,2023,1.407,0.0,0.00359446,24.6842,17.1
61,49,2024,2026,1.379,0.0,0.00352074,24.6842,17.1
61,49,2027,2060,1.353,0.0,0.00346672,24.6842,17.1
62,49,1960,2007,1.73882,0.0,0.00434686,24.8298,17.1
62,49,2008,2009,1.73882,0.0,0.00427845,24.8298,17.1
62,49,2010,2013,1.73882,0.0,0.00427845,24.8298,17.1
62,49,2014,2017,1.576,0.0,0.00380477,24.6484,17.1
62,49,2018,2020,1.576,0.0,0.00380477,24.6484,17.1
62,49,2021,2023,1.502,0.0,0.00368528,24.6484,17.1
62,49,2024,2026,1.466,0.0,0.0035979,24.6484,17.1
62,49,2027,2060,1.44,0.0,0.00346614,24.6484,17.1
